5	header
postResults v2.0.1	Myself_tensionX.spectralOut --cr f,p --co edge_density --co dipole_density --co twin_fraction
addStrainTensors v2.0.1	Myself_tensionX.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX.txt
addMises v2.0.1	-e ln(V) -s Cauchy Myself_tensionX.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_edge_density	2_edge_density	3_edge_density	4_edge_density	5_edge_density	6_edge_density	7_edge_density	8_edge_density	9_edge_density	10_edge_density	11_edge_density	12_edge_density	1_dipole_density	2_dipole_density	3_dipole_density	4_dipole_density	5_dipole_density	6_dipole_density	7_dipole_density	8_dipole_density	9_dipole_density	10_dipole_density	11_dipole_density	12_dipole_density	1_twin_fraction	2_twin_fraction	3_twin_fraction	4_twin_fraction	5_twin_fraction	6_twin_fraction	7_twin_fraction	8_twin_fraction	9_twin_fraction	10_twin_fraction	11_twin_fraction	12_twin_fraction	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
40	n/a	n/a	1	1	8.0	8.0	0.5	1.004	-2.62580213649e-20	0.0	-8.30092288309e-20	0.998007323246	0.0	-4.40457132572e-20	1.98205709658e-19	0.998467801275	188607907.87	1140173.6121	6104289.91285	1133374.16652	-219.398254587	1425142.41381	6070657.8828	1425804.93788	1058.63860025	66482773844.8	1.39735615739e+11	1.28572878213e+11	77271844620.9	2.12408306465e+11	1.74259373606e+11	50884327885.5	64370874812.9	2.03626376748e+11	1.17197386377e+11	96221637380.1	72757911634.5	11185899429.3	38631231442.4	40357566850.9	14876670550.5	58403460229.3	47320764203.5	7106337575.75	12593723570.9	82497552021.5	31017618347.6	20531825728.0	16045418203.9	6.85473942257e-05	5.13970699315e-08	1.03563630174e-05	0.000116624838388	1.50196102462e-06	6.25518123444e-05	1.01115379893e-06	3.42383972939e-06	7.0249444965e-06	3.01572459978e-05	3.95170519856e-07	5.43142541019e-05	0.003992021269537457	0.0	0.0	0.0	-0.0019946647757513062	0.0	0.0	0.0	-0.0015333737418593667	189274499.02189648	1137373.7703898435	6092109.6379775405	1137379.816122513	-218.8594941931362	1422298.737218548	6092113.223016457	1422303.6920230023	1056.5262318458558	0.00384659125445	189594220.897
44	n/a	n/a	1	1	8.0	8.0	0.5	1.0044	7.45388993584e-20	0.0	6.60685698858e-20	0.997784950596	0.0	4.06575814682e-20	2.41404389967e-19	0.998297542368	190572657.418	1274109.9209	6086934.19138	1265723.06923	-399.36348983	1443860.00492	6049951.63035	1444604.72426	70.4779887528	74312763539.2	1.58144314697e+11	1.4278702268e+11	85335067660.7	2.35063219175e+11	1.92692895834e+11	59005414291.2	71488112896.7	2.23095213265e+11	1.30171174024e+11	1.06967882937e+11	81914322695.2	14247273786.4	48655029220.7	50382030211.8	18429522950.6	71676058190.0	58491065050.0	9698120453.09	15887667991.1	99047967934.0	38530405887.0	25710634825.8	20768245527.3	7.97719826998e-05	7.02843559776e-08	1.3110733795e-05	0.000134859546643	1.87067119323e-06	7.3774574005e-05	1.60718904713e-06	4.06291846441e-06	7.92732286474e-06	3.37341088555e-05	6.10977321412e-07	6.27371125196e-05	0.004390348301292854	0.0	0.0	0.0	-0.0022175062546318826	0.0	0.0	0.0	-0.0017039084598766952	191321439.02305225	1270691.6947314	6073722.603378592	1270696.23885554	-398.2920636450787	1440726.1311311675	6073722.577104053	1440729.0887353506	70.32501746687994	0.00424440782411	191639497.946
48	n/a	n/a	1	1	8.0	8.0	0.5	1.0048	8.13151629364e-20	0.0	4.40457132572e-20	0.997563523728	0.0	1.32137139772e-19	-2.67662411332e-19	0.998126277981	192413003.09	1467770.3206	6057117.94601	1457194.58674	-2519.55548972	1488240.06397	6016883.45214	1489084.88053	996.387326323	82152922766.3	1.76414713639e+11	1.56322201479e+11	93445477342.8	2.56967406347e+11	2.10595598387e+11	66886929872.0	78600972940.3	2.41948390594e+11	1.42933367966e+11	1.17719794506e+11	90829767927.4	17709595557.3	59765757818.5	61259616442.7	22363702341.9	85878102320.3	70545790070.1	12634274202.8	19493697693.9	1.1645802241e+11	46648272571.3	31397742931.9	25927153452.8	9.09483409663e-05	9.5450464517e-08	1.61752423716e-05	0.000153303155931	2.34343217307e-06	8.49898890232e-05	2.2361515508e-06	4.74924923434e-06	8.8782752831e-06	3.71550441616e-05	9.00877592809e-07	7.13638540917e-05	0.004788516731797094	0.0	0.0	0.0	-0.002439449310452058	0.0	0.0	0.0	-0.0018754796319641889	193245045.33656028	1463500.8727511826	6042906.066442664	1463495.8628396173	-2512.226610933867	1484748.1906492307	6042901.970350373	1484753.432924978	994.0494922556531	0.00464208771142	193562728.699
52	n/a	n/a	1	1	8.0	8.0	0.5	1.0052	-7.45388993584e-20	0.0	-7.11507675694e-20	0.997343951894	0.0	-3.38813178902e-20	2.5919208186e-19	0.997953176755	194155741.239	1664947.40754	6015630.41051	1651929.18683	1123.32081286	1570873.377	5972266.39015	1571832.03075	1808.15387046	89930326639.1	1.94570870589e+11	1.69312571982e+11	1.01519114205e+11	2.78267655938e+11	2.28009791763e+11	74503812385.1	86085743468.3	2.59814466261e+11	1.5537500195e+11	1.2836384742e+11	99575802481.2	21568693118.0	71896721158.4	73023840001.5	26698129578.0	1.00902742482e+11	83509958790.8	15905105492.2	23424355884.1	1.3438183234e+11	55377123403.2	37631838819.9	31512847835.6	0.000102042696097	1.30494645302e-07	1.93795550869e-05	0.000172271879751	3.03024985839e-06	9.64112566999e-05	2.97438136311e-06	5.49394882891e-06	9.87802732258e-06	4.04330239431e-05	1.26744239687e-06	7.99760927663e-05	0.005186526687300154	0.0	0.0	0.0	-0.002659581660016679	0.0	0.0	0.0	-0.002048920850471807	195072079.63192725	1659731.6456175272	6000448.43324781	1659725.6399589658	1119.801798447951	1566908.8774772692	6000453.128029397	1566907.9703157893	1803.5905331080407	0.00503953313301	195387286.983
56	n/a	n/a	1	1	8.0	8.0	0.5	1.0056	9.48676900925e-20	0.0	-1.69406589451e-20	0.997126444255	0.0	4.06575814682e-20	-2.54109884176e-20	0.997778026123	195812804.387	1832862.46918	5977813.068	1817423.50715	64.5038892138	1670304.32329	5931331.48199	1671401.92805	502.965390993	97629491120.8	2.12247183335e+11	1.81922528838e+11	1.0942220905e+11	2.9926608379e+11	2.44810603255e+11	81842373059.3	93750288402.2	2.77011363892e+11	1.67616057783e+11	1.38775165501e+11	1.08225714561e+11	25808985045.2	84926358293.5	85589159582.2	31390928776.1	1.1676762706e+11	97126628428.3	19478472635.6	27687566976.4	1.52849922198e+11	64725298991.9	44389793027.1	37492688186.2	0.000113240525551	1.79862093596e-07	2.2627074455e-05	0.000191714803117	3.93802538769e-06	0.000108370935	3.82668031043e-06	6.52120119809e-06	1.09481075395e-05	4.3567785722e-05	1.7190304979e-06	8.86184123752e-05	0.0055843782939006634	0.0	0.0	0.0	-0.002877692332687476	0.0	0.0	0.0	-0.00222444612381224	196814421.44817618	1826714.509753549	5961654.882721484	1826719.9492179372	64.28752421074977	1665789.4469597745	5961671.289575366	1665795.55473409	501.6058623687528	0.00543672917776	197131338.645
60	n/a	n/a	1	1	8.0	8.0	0.5	1.006	4.74338450462e-20	0.0	1.86347248396e-20	0.99691140297	0.0	-4.06575814682e-20	3.32036915324e-19	0.997600455533	197387207.964	1973733.55185	5934009.51677	1955897.6892	-1586.45903308	1772502.88371	5884487.73606	1773738.31962	2191.08612568	1.05320671507e+11	2.29580444903e+11	1.94258278016e+11	1.17281558624e+11	3.19883818301e+11	2.6100421557e+11	88938959583.7	1.01619959284e+11	2.93612583811e+11	1.79811511737e+11	1.49081669078e+11	1.16859085293e+11	30438676177.7	98681568021.0	98925873208.6	36493837340.7	1.33388741822e+11	1.1123823253e+11	23260416355.9	32302064809.6	1.71640312289e+11	74689736351.8	51676747416.2	43841151091.6	0.000124589569847	2.53582130608e-07	2.60494696072e-05	0.000211287229541	4.96862138562e-06	0.000120882015829	4.76963793128e-06	8.03834140893e-06	1.20612765178e-05	4.65539292528e-05	2.27297836898e-06	9.73747605105e-05	0.005982071677547469	0.0	0.0	0.0	-0.0030933765897669884	0.0	0.0	0.0	-0.0024024279875051995	198474995.881984	1966680.9194817187	5916892.707152677	1966676.5126965696	-1580.790227218558	1767390.0515986127	5916916.760862756	1767400.3190960248	2184.765878979615	0.00583363819883	198791870.922
64	n/a	n/a	1	1	8.0	8.0	0.5	1.0064	-1.69406589451e-21	0.0	-6.09863722023e-20	0.996698403334	0.0	7.11507675694e-20	3.76082628581e-19	0.997420939221	198902979.568	2108640.34925	5901923.39598	2088316.01311	-2202.64453242	1865706.12669	5849278.84494	1867066.70687	2778.46681028	1.12988818118e+11	2.46422602054e+11	2.06254575101e+11	1.25203041725e+11	3.40055795664e+11	2.76640778214e+11	95840748897.7	1.09521569279e+11	3.09688701465e+11	1.92010657104e+11	1.59331947568e+11	1.25428926394e+11	35461308965.5	1.13026618299e+11	1.12968524287e+11	42033335593.6	1.50773226037e+11	1.25830831935e+11	27236980354.0	37276174153.3	1.90831156745e+11	85213997276.7	59465260406.0	50540225637.9	0.00013597803908	3.56322652165e-07	2.96804936088e-05	0.000231024554496	6.01504192465e-06	0.000133971330315	5.76965823696e-06	9.74221973494e-06	1.31559202052e-05	4.93807947904e-05	2.89927602292e-06	0.000106169948031	0.006379606964038988	0.0	0.0	0.0	-0.0033070589624529744	0.0	0.0	0.0	-0.0025823922855888284	200077865.28937545	2100648.5720138475	5883817.283238731	2100651.336949047	-2194.2964779782874	1859982.4526933276	5883829.529953314	1859990.4972111792	2769.9429393417463	0.00623028569194	200395888.173
68	n/a	n/a	1	1	8.0	8.0	0.5	1.0068	-2.54109884176e-20	0.0	-4.91279109407e-20	0.99648686884	0.0	3.04931861012e-20	-1.66018457662e-19	0.997240090269	200376368.797	2235558.41868	5879505.75497	2212654.56597	-3694.6867074	1950522.0596	5823682.65053	1951993.17892	3713.05780657	1.20550890791e+11	2.62721823983e+11	2.17822187713e+11	1.33130771782e+11	3.59809195816e+11	2.91834557221e+11	1.02548840263e+11	1.17383962872e+11	3.25415196656e+11	2.0413578902e+11	1.69420239048e+11	1.33922984034e+11	40837579235.7	1.27955874817e+11	1.27588162493e+11	47966998267.9	1.68930707741e+11	1.40932738443e+11	31412994944.6	42592880812.6	2.10589284925e+11	96255875809.8	67708766717.6	57580348864.2	0.000147455248404	4.9229069327e-07	3.35297896285e-05	0.000251066650165	7.04841841735e-06	0.000147595129676	6.79495904605e-06	1.1427936589e-05	1.42124804579e-05	5.20621789089e-05	3.57508235683e-06	0.000114857667041	0.006776984279023669	0.0	0.0	0.0	-0.0035193166965908577	0.0	0.0	0.0	-0.002763725303903449	201639305.32498017	2226604.5229608067	5860383.443649278	2226600.5332112606	-3679.8886868174372	1944178.2457462456	5860388.283988056	1944175.023410136	3700.981579368581	0.00662671145992	201959526.519
72	n/a	n/a	1	1	8.0	8.0	0.5	1.0072	4.40457132572e-20	0.0	-8.63973606199e-20	0.99627637702	0.0	-2.03287907341e-20	-8.9785492409e-20	0.997058330487	201806821.24	2353728.68627	5863545.05499	2328198.60479	-1604.39043893	2040428.70374	5804504.48807	2042025.13052	1149.22792723	1.2793399544e+11	2.78569359876e+11	2.28973824648e+11	1.40959358186e+11	3.79166882502e+11	3.06671747696e+11	1.09128799929e+11	1.25226418198e+11	3.40816391041e+11	2.16146015337e+11	1.79328909967e+11	1.42306675291e+11	46516222869.8	1.43469443952e+11	1.42708820748e+11	54247310383.3	1.87857946125e+11	1.56514345107e+11	35823409663.2	48232965363.1	2.30913688495e+11	1.07790761583e+11	76378007575.0	64960990164.7	0.000159032007079	6.91470894127e-07	3.76009629129e-05	0.000271479458231	8.08119287313e-06	0.000161715935504	7.82453201868e-06	1.30718826254e-05	1.52402854578e-05	5.46237739653e-05	4.30392502413e-06	0.000123401296062	0.007174203748000453	0.0	0.0	0.0	-0.003730572922055361	0.0	0.0	0.0	-0.0029460047266928026	203158708.11903307	2343797.6629092074	5843387.897313711	2343795.0109285987	-1597.6210780339084	2033414.30498928	5843388.3741968125	2033409.269485202	1145.2772168119982	0.00702295159615	203481872.846
76	n/a	n/a	1	1	8.0	8.0	0.5	1.0076	1.52465930506e-20	0.0	5.08219768353e-20	0.996066397917	0.0	9.14795583035e-20	-1.69406589451e-19	0.996876214434	203203333.996	2463986.84397	5854167.90932	2435779.33762	-564.306131633	2142304.18061	5791859.51561	2144041.40147	725.331302159	1.35108076581e+11	2.94011798334e+11	2.39774539737e+11	1.48623179149e+11	3.98128621797e+11	3.21180120549e+11	1.15616776632e+11	1.3302962512e+11	3.55869589214e+11	2.2808751898e+11	1.89038233978e+11	1.50586959427e+11	52441386505.9	1.59538129994e+11	1.58328431012e+11	60844821975.5	2.07524774998e+11	1.72534429535e+11	40487724592.5	54170779917.6	2.51812915247e+11	1.19802974748e+11	85452708163.1	72684044935.2	0.000170682960769	1.03131322975e-06	4.18875213074e-05	0.000292237932912	9.12198432823e-06	0.000176215184412	8.85110079306e-06	1.47151638137e-05	1.624509433e-05	5.70836753359e-05	5.08522597346e-06	0.000131806704812	0.007571265496318126	0.0	0.0	0.0	-0.003941359044221416	0.0	0.0	0.0	-0.003128674768666372	204645079.0257892	2453064.6382727404	5832956.348735294	2453061.400293962	-561.8047109533384	2134541.9135172623	5832953.254111517	2134537.429779727	722.7031901714306	0.00741904008792	204971624.529
