4	header
postResults v2.0.1	Myself_tensionX.spectralOut --increments --range 0 200 50 --separation x,y,z --split --cr texture,f,p,orientation,grainrotation
addStrainTensors v2.0.1	Myself_tensionX_inc050.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX_inc050.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_orientation	2_orientation	3_orientation	4_orientation	1_grainrotation	2_grainrotation	3_grainrotation	4_grainrotation	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy
50	1	1	1	1	0.5	0.5	0.5	7.0	1.02455577828	0.01087184492	0.0	-0.0101200219238	0.987408897948	0.0	0.0129764678122	0.00200573375719	0.989010862595	335894449.233	-38894750.6833	-38803999.0835	-40772180.1897	-2843058.60076	-10355192.2822	-33160244.1925	-11253454.7493	-78140856.357	0.460890023226	0.702855692109	-0.536483060063	0.0758959078384	-0.40611688128	-0.910769610385	0.074629332712	1.28643408796	0.024273243575933818	0.00017490465699373172	0.0065689915105994045	0.000174904656993732	-0.012619450492787733	0.0009454773271437537	0.006568991510599404	0.0009454773271437543	-0.01100691739415957	343497469.11078066	-41777248.66927186	-34074816.310274884	-41777248.66942802	-2393097.465004048	-10769210.359794412	-34074816.310362905	-10769210.35985193	-77684761.3844607
50	2	2	1	1	1.5	0.5	0.5	7.0	1.02243451403	0.0222798509385	0.0	-0.0132065872777	0.989158524221	0.0	-0.00217452927834	-0.00388336203011	0.989010862595	321382851.592	2898815.16571	-30142821.6113	-1065556.22682	-12905000.3812	48364345.9002	-30897891.8569	47997604.4903	-102006011.871	0.460237826639	0.699965190815	-0.541661743338	0.0695156844389	0.0318781366659	-0.908227823569	-0.417276410158	0.405780180982	0.022405276573997296	0.004215597463168815	-0.0011335381734308672	0.004215597463168815	-0.010833512392328356	-0.0019435204940919544	-0.001133538173430867	-0.0019435204940919544	-0.011044942704203657	328484406.62248063	-1376257.7146626585	-30505616.324045025	-1376257.7146547344	-12744303.029436098	47860074.97115372	-30505616.323928118	47860074.9711356	-100951060.29652531
50	3	3	1	1	2.5	0.5	0.5	5.0	1.03902978276	-0.017053485727	0.0	0.00589772123877	0.974918247968	0.0	-0.00839217495381	0.0233990970504	0.989010862595	378806963.734	-22122229.5595	27754714.3141	-15576440.9717	184647372.35	7004049.45222	23050075.2548	11531674.6804	217267264.407	-0.196180823396	0.6890551198	0.69694807851	-0.0312970009832	0.475034577113	0.701657136229	0.531055001361	1.79763622013	0.038377992115082186	-0.005126956087018073	-0.004374616761788865	-0.005126956087018073	-0.025551254638025232	0.011778595241591477	-0.004374616761788865	0.011778595241591477	-0.010891700596712519	393207370.9665574	-19295892.994529925	23707140.83045147	-19295892.99454244	179576403.85531038	11356386.691868808	23707140.83042283	11356386.691897413	214540529.34046653
50	4	4	1	1	3.5	0.5	0.5	5.0	1.03125710886	-0.0295456304452	0.0	0.0196444309543	0.981295723376	0.0	-0.00677604593889	0.0188603054983	0.989010862595	320078215.859	-80541008.2055	-54985670.7157	-65649850.2849	170750043.888	-44669523.2021	-57459136.0849	-40135349.937	81116569.2465	-0.19868306747	0.683607577038	0.701662082991	-0.0295979832	0.306582707071	0.481469400862	0.821093336788	2.20284718191	0.03115790940959472	-0.004277312354698329	-0.0036560428838331325	-0.004277312354698329	-0.018789916187901174	0.009447525076950333	-0.0036560428838331325	0.009447525076950333	-0.010947440631383015	331990625.08534217	-72643525.21817847	-57986886.382237	-72643525.21826188	166030611.06613502	-40455888.7245941	-57986886.38222247	-40455888.72465612	79744187.59481649
50	5	5	1	1	4.5	0.5	0.5	9.0	1.03089020239	-0.0335244167499	0.0	0.0171365102013	0.980268976017	0.0	-0.000256375945999	0.021694914218	0.989010862595	213389862.076	29271189.7917	-20281556.8808	26692618.5591	-144170676.539	39201791.8143	-17702410.6089	36663143.0262	-73213328.1824	-0.399605610687	-0.30582028797	0.816720706329	0.282412101771	0.90312230884	0.371941500919	0.214545914132	1.93668293268	0.030896495177017008	-0.007507352558992015	-0.000405155742125511	-0.007507352558992015	-0.019954697337208123	0.010960096675480363	-0.00040515574212551076	0.010960096675480362	-0.01092900581731015	218997417.10035473	32349982.967871614	-19478102.975691006	32349982.967761353	-140866821.14925528	35635928.27341963	-19478102.975646157	35635928.27335896	-71607918.62797925
50	6	6	1	1	5.5	0.5	0.5	9.0	1.02295875153	-0.0269552956436	0.0	0.010830443792	0.987711654483	0.0	0.00316264662047	0.0155547994614	0.989010862595	147734752.019	-14924170.0746	-5527806.12874	-18047809.031	-197416510.515	-17130979.587	-5648360.35026	-20258345.2691	-128596161.964	-0.402317329582	-0.30887450369	0.816738377962	0.275092219541	0.958110879836	0.106025083957	0.266050437157	1.06170892636	0.022986357440074094	-0.007699932717397384	0.0014508300089202514	-0.007699932717397385	-0.012427286873166249	0.007892111149316558	0.0014508300089202519	0.007892111149316558	-0.010985446492704833	151593464.9258819	-13146347.879740333	-5234201.227764798	-13146347.87978227	-195269294.3833746	-20079137.408008337	-5234201.227797179	-20079137.408024233	-127570360.67264138
50	7	7	1	1	6.5	0.5	0.5	9.0	1.02504075146	-0.0322976811602	0.0	0.0188490830961	0.985823540826	0.0	-0.00412974918039	0.0176251364388	0.989010862595	210435829.134	41201178.2931	-2768688.59655	39692287.4567	-120671255.62	35982383.918	-1745492.96854	33808386.1691	-93875142.2698	-0.397205066488	-0.308953664596	0.817143134938	0.281163413895	0.787082548063	0.467363608436	0.402582636513	1.76526151421	0.0251860643541641	-0.0061687094046860794	-0.002312757011096299	-0.0061687094046860794	-0.014212945157273196	0.008853876090492345	-0.002312757011096299	0.008853876090492346	-0.010966350014792927	214373146.7739094	44583312.107270986	-2881114.398312452	44583312.107418194	-118211601.06812	33295976.63353789	-2881114.398316877	33295976.633535437	-92239825.17503439
50	8	8	1	1	7.5	0.5	0.5	18.0	1.03559325896	-0.00628518055214	0.0	0.00330811019728	0.97639837787	0.0	0.0025843625429	0.0318988351555	0.989010862595	194118714.266	69513696.9821	32005597.066	66175352.4931	2469599.63612	-9369802.96632	33134836.2174	-9347262.71219	-178788777.787	0.639025601492	-0.0972378843714	0.448064160708	0.617599856193	0.485346616223	-0.52126480675	-0.701941371046	1.43883549037	0.034989667410302926	-0.0013594624953162807	0.001229100067987443	-0.0013594624953162807	-0.02414319113712423	0.016129392699504398	0.001229100067987443	0.016129392699504398	-0.01078601996600513	200578999.16332462	68511085.0188093	34370884.25766902	68511085.01914558	2630069.427995201	-9016493.339757489	34370884.257747516	-9016493.33976227	-177025875.05005452
50	9	9	1	1	8.5	0.5	0.5	18.0	1.02114155683	-0.0141747869349	0.0	0.00736679122659	0.990470453006	0.0	-0.00567780307221	0.0257632376376	0.989010862595	191043891.76	42623808.5063	29993186.7622	43653400.7295	67111992.6152	27570175.1524	29462439.9126	28805832.4004	-100038791.963	0.646787546688	-0.0975437483148	0.447285236658	0.609989347187	0.588962376652	-0.772852855363	0.236262677653	0.514311108144	0.020998562832641014	-0.0031825012785902415	-0.0030086399452994867	-0.0031825012785902415	-0.00972672559095389	0.01299165084705049	-0.0030086399452994867	0.01299165084705049	-0.01087263077891699	194401052.0019082	43607591.47820146	29665160.33581611	43607591.47816279	66767371.92991497	28736895.266220156	29665160.335758876	28736895.266247083	-98325342.41062313
50	10	10	1	1	9.5	0.5	0.5	18.0	1.01707753634	-0.00446247472519	0.0	0.00362110097641	0.994676991312	0.0	-0.0109053332179	0.0166946270015	0.989010862595	254993358.797	59803183.9008	-3197613.74296	59766700.1259	84966393.9099	-27572442.9732	-4978666.89063	-26626443.6704	-115808598.388	0.644109492223	-0.0961220591489	0.448470369524	0.612174680489	0.396782503979	-0.777751795845	-0.487510316254	0.642730497986	0.016912659298051545	-0.00032734612467703666	-0.005546008208582786	-0.00032734612467703644	-0.005401314874757516	0.008417220604660419	-0.005546008208582787	0.008417220604660417	-0.010949207746040465	258935548.86343145	60374259.60730697	-4942091.511585369	60374259.607371554	84682921.55466008	-26487845.15989649	-4942091.511586653	-26487845.159852393	-114861600.24196169
