3	header
postResults v2.0.1	Myself_tensionX.spectralOut --increments --range 0 400 100 --separation x,y,z --split --cr texture,f,p,orientation,grainrotation
addStrainTensors v2.0.1	Myself_tensionX_inc100.txt --left --logarithmic
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_orientation	2_orientation	3_orientation	4_orientation	1_grainrotation	2_grainrotation	3_grainrotation	4_grainrotation	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)
100	1	1	1	1	0.5	0.5	0.5	7.0	1.00980334863	0.00491392545693	0.0	-0.00466707803154	0.994978846084	0.0	0.0049675856903	0.000635640349145	0.995782937826	268769904.635	-36817427.2007	-23321837.7196	-37495248.8884	-4905134.2326	-8156491.634	-21657886.1081	-8455006.90019	-55594161.1631	0.459412602086	0.701537835607	-0.540221718888	0.0703222631827	-0.404389407128	-0.91454069352	-0.00950034609661	0.487376073864	0.009761268966909627	8.702646277224287e-05	0.0024957164389090795	8.702646277224296e-05	-0.005022903566698183	0.0003072403165471257	0.0024957164389090795	0.00030724031654712593	-0.0042197137760154445
100	2	2	1	1	1.5	0.5	0.5	7.0	1.00916308445	0.00836688177947	0.0	-0.00479792387392	0.995551477027	0.0	0.000251127858258	-0.00182350475358	0.995782937826	265825962.711	-3282528.58307	-29892183.3469	-4480542.14271	-2598480.99826	34766836.7224	-29710930.3503	34635361.3826	-71774943.7436	0.459218896813	0.700867368395	-0.541508357977	0.0683493596924	-0.202380391904	-0.955820631244	-0.213243135545	0.222551882072	0.009152726765792296	0.0017357579597182286	0.00012008010608036035	0.0017357579597182288	-0.004450714153355167	-0.0009164213439250322	0.00012008010608036035	-0.0009164213439250322	-0.004225124558955671
100	3	3	1	1	2.5	0.5	0.5	5.0	1.01550741219	-0.0073836007951	0.0	0.00299984754414	0.990369706156	0.0	-0.0024258542205	0.0088623288489	0.995782937826	311634654.551	-9154280.56234	-784814.852909	-6950447.06468	145326814.79	5829149.0556	-1541668.82677	7183162.70522	153873533.781	-0.204178917933	0.691706455324	0.692038164598	-0.0305994750583	0.469731483025	0.658638650411	0.587832851988	0.680038580294	0.015408897738276946	-0.002115167020879541	-0.0012409616371835063	-0.002115167020879541	-0.009696759639047042	0.004443470425718745	-0.0012409616371835065	0.0044434704257187456	-0.004204657806277275
100	4	4	1	1	3.5	0.5	0.5	5.0	1.0128587342	-0.0120161642982	0.0	0.00825603791243	0.992531505761	0.0	-0.00200694412137	0.00664184306185	0.995782937826	274644314.754	-49230518.9766	-39741118.8536	-44402194.8246	135002848.511	-33471305.5555	-40320780.7275	-32252361.2018	57562765.6504	-0.205114523859	0.689895518721	0.693589651052	-0.0300932102706	0.302455326791	0.461694290279	0.833881989055	0.817119752262	0.01284296287231598	-0.001768986366930913	-0.001041308237413722	-0.0017689863669309131	-0.007476185616491572	0.0033245898697882906	-0.001041308237413722	0.0033245898697882906	-0.004213838180220346
100	5	5	1	1	4.5	0.5	0.5	9.0	1.01221049157	-0.0127310579051	0.0	0.0067377087845	0.992121005536	0.0	1.49421955981e-05	0.00785818940282	0.995782937826	190625537.798	30982363.7196	-22832319.2459	30167706.4224	-116766750.38	27853415.7875	-21876561.6786	27180383.7274	-41728191.9181	-0.400537466016	-0.308913833164	0.818532113726	0.272299762756	0.903815689578	0.372222592564	0.211113546925	0.702606608558	0.01220737787037302	-0.0028925679690181344	-3.079606257645813e-05	-0.0028925679690181344	-0.007911224328101965	0.003945565207665296	-3.079606257645808e-05	0.003945565207665297	-0.00421037274043591
100	6	6	1	1	5.5	0.5	0.5	9.0	1.00927731837	-0.0106217748302	0.0	0.00536555558474	0.994721394021	0.0	-0.000870412679571	0.00440726435244	0.995782937826	148232672.867	-8786288.84587	-2498464.64456	-9436735.71073	-148725094.839	-16760924.6414	-2814535.22223	-17414321.5311	-93002552.8126	-0.400149558543	-0.310090481961	0.818987352986	0.270155398694	0.805535598756	0.472962339635	0.356961477198	0.436802729346	0.009283206090921944	-0.0025638116720143904	-0.0004546617056339455	-0.002563811672014391	-0.005289565216151446	0.0022093946770203607	-0.00045466170563394573	0.0022093946770203603	-0.0042208927038277205
100	7	7	1	1	6.5	0.5	0.5	9.0	1.00960938115	-0.013174197422	0.0	0.00838376370759	0.994601067269	0.0	-0.00156443525852	0.00608698356795	0.995782937826	184865367.121	35750425.1704	-7620036.65609	35352399.6399	-107419390.902	17249982.6823	-7369731.8668	16619585.9421	-65513154.7133	-0.399407215298	-0.310681049264	0.818515337224	0.271999641037	0.732454749148	0.455594637653	0.505910534985	0.66338659899	0.009642693057484006	-0.0023069419264873684	-0.0008183110752298749	-0.0023069419264873684	-0.005392713837033526	0.0030477273912978904	-0.0008183110752298749	0.0030477273912978904	-0.004216027307704125
100	8	8	1	1	7.5	0.5	0.5	18.0	1.01401436201	-0.00204663154411	0.0	0.00189297169757	0.990557001274	0.0	0.0011543530116	0.0123509226234	0.995782937826	181813559.881	50155160.8268	24871680.5623	49366725.2961	16053121.7206	-5162980.12152	25232325.9749	-4980747.29035	-115660753.981	0.644299556405	-0.0948929111133	0.447357821606	0.612979931552	0.477468721431	-0.532495424874	-0.698907928098	0.587892610823	0.013918784607241077	-5.7163841083882935e-05	0.0005673864458451004	-5.7163841083882935e-05	-0.009524651491186219	0.006202551280551746	0.0005673864458451003	0.006202551280551746	-0.004187052820774893
100	9	9	1	1	8.5	0.5	0.5	18.0	1.00799463453	-0.00380763669117	0.0	0.00182546841408	0.996616139668	0.0	-0.00153571378916	0.0093981458641	0.995782937826	175666177.406	39322835.9349	24608935.7898	39424771.3982	60276766.6401	16660517.013	24474429.4978	17109421.8529	-93169769.1761	0.647142110663	-0.0947021096936	0.447060863229	0.610225518636	0.581364274778	-0.810460000241	-0.0718489828868	0.199362140614	0.007968434049116886	-0.00096918117997916	-0.0007843248070987708	-0.00096918117997916	-0.0034111076069274814	0.004716712898844563	-0.0007843248070987708	0.004716712898844562	-0.004203138306408784
100	10	10	1	1	9.5	0.5	0.5	18.0	1.00577682325	0.00112590243814	0.0	0.000111700251643	0.998943909511	0.0	-0.0026834793455	0.00404332477676	0.995782937826	217854001.761	50800541.743	-3319483.43382	50407961.6874	64007809.1915	-17007391.902	-3644685.51011	-16829501.4002	-89227144.7293	0.64624416473	-0.0941277993243	0.447448550452	0.610981367674	0.351747191337	-0.700534621881	-0.62090847074	0.26853865689	0.005758648862763258	0.0006183457492655315	-0.0013463695307823818	0.0006183457492655315	-0.0010611399852234128	0.002030895668005528	-0.0013463695307823818	0.002030895668005528	-0.004220060264497683
