 Lammps data file for nanotube
 
        9216 atoms
           1 atom types
 
  -33.66221       67.32442     xlo xhi
  -26.75140       60.75663     ylo yhi
  -80.00000       80.00000     zlo zhi
 
  Atoms
 
  162    1 -13.401 -25.602   0.000
  163    1 -16.908 -24.388   0.000
  164    1 -15.505 -24.388   0.000
  165    1 -14.804 -23.172   0.000
  166    1 -13.401 -23.172   0.000
  167    1 -16.975 -22.032  -0.324
  168    1 -15.583 -22.035  -0.237
  169    1 -15.041 -20.850   0.168
  170    1 -13.627 -20.849   0.321
  171    1 -15.034  -3.656   0.219
  172    1 -13.638  -3.651   0.344
  173    1 -16.987  -2.468  -0.298
  174    1 -15.602  -2.456  -0.233
  175    1 -14.804  -1.312   0.000
  176    1 -13.401  -1.312   0.000
  177    1 -16.908  -0.098   0.000
  178    1 -15.505  -0.098   0.000
  179    1 -14.804   1.117   0.000
  180    1 -13.401   1.117   0.000
  181    1 -12.700 -26.816   0.000
  182    1 -11.298 -26.816   0.000
  183    1 -10.596 -25.602   0.000
  184    1  -9.193 -25.602   0.000
  185    1 -12.700 -24.388   0.000
  186    1 -11.298 -24.388   0.000
  187    1 -10.596 -23.172   0.000
  188    1  -9.193 -23.172   0.000
  189    1 -12.745 -21.933   0.039
  190    1 -11.298 -21.958   0.000
  191    1 -10.596 -20.691   0.024
  192    1  -9.193 -20.744   0.000
  193    1 -11.108 -19.385   0.324
  194    1 -10.412 -18.146   0.185
  195    1  -9.088 -18.278  -0.225
  196    1  -9.007 -15.849  -0.028
  197    1  -9.001 -13.394  -0.144
  198    1  -8.996 -11.084  -0.128
  199    1  -9.005  -8.646  -0.020
  200    1 -10.384  -6.336   0.207
  201    1  -9.071  -6.215  -0.243
  202    1 -11.091  -5.124   0.331
  203    1 -10.596  -3.797   0.041
  204    1  -9.193  -3.742   0.000
  205    1 -12.743  -2.543   0.046
  206    1 -11.298  -2.526   0.000
  207    1 -10.596  -1.312   0.000
  208    1  -9.193  -1.312   0.000
  209    1 -12.700  -0.098   0.000
  210    1 -11.298  -0.098   0.000
  211    1 -10.596   1.117   0.000
  212    1  -9.193   1.117   0.000
  213    1  -8.492 -26.816   0.000
  214    1  -7.090 -26.816   0.000
  215    1  -6.388 -25.602   0.000
  216    1  -4.986 -25.602   0.000
  217    1  -8.492 -24.388   0.000
  218    1  -7.090 -24.388   0.000
  219    1  -6.388 -23.172   0.000
  220    1  -4.986 -23.172   0.000
  221    1  -8.492 -21.958   0.000
  222    1  -7.090 -21.958   0.000
  223    1  -6.388 -20.744   0.000
  224    1  -4.986 -20.744   0.000
  225    1  -8.492 -19.529   0.000
  226    1  -7.090 -19.529   0.000
  227    1  -6.388 -18.315   0.000
  228    1  -4.986 -18.315   0.000
  229    1  -8.388 -17.086  -0.343
  230    1  -7.031 -17.101  -0.162
  231    1  -6.388 -15.886   0.000
  232    1  -4.986 -15.886   0.000
  233    1  -8.403 -14.638  -0.313
  234    1  -7.019 -14.653  -0.274
  235    1  -6.338 -13.464  -0.320
  236    1  -4.986 -13.457   0.000
  237    1  -8.365 -12.229  -0.727
  238    1  -6.955 -12.239  -0.644
  239    1  -6.327 -11.017  -0.377
  240    1  -4.986 -11.028   0.000
