5	header
postResults v2.0.1	Myself_tensionX.spectralOut --cr f,p --co edge_density --co dipole_density --co twin_fraction
addStrainTensors v2.0.1	Myself_tensionX.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX.txt
addMises v2.0.1	-e ln(V) -s Cauchy Myself_tensionX.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_edge_density	2_edge_density	3_edge_density	4_edge_density	5_edge_density	6_edge_density	7_edge_density	8_edge_density	9_edge_density	10_edge_density	11_edge_density	12_edge_density	1_dipole_density	2_dipole_density	3_dipole_density	4_dipole_density	5_dipole_density	6_dipole_density	7_dipole_density	8_dipole_density	9_dipole_density	10_dipole_density	11_dipole_density	12_dipole_density	1_twin_fraction	2_twin_fraction	3_twin_fraction	4_twin_fraction	5_twin_fraction	6_twin_fraction	7_twin_fraction	8_twin_fraction	9_twin_fraction	10_twin_fraction	11_twin_fraction	12_twin_fraction	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
10	n/a	n/a	1	1	8.0	8.0	0.5	1.005	2.64274279543e-19	0.0	2.67662411332e-19	0.997453066642	0.0	-1.23666810299e-19	-2.4055735702e-19	0.998041597257	193735255.967	1694310.48305	6175721.17536	1681583.48157	341.413458203	1466705.49015	6132961.83017	1467566.46568	-71.770279865	86117231099.0	1.86872924208e+11	1.62801897739e+11	1.00152440399e+11	2.72712300028e+11	2.20341226753e+11	70070644118.0	82036074904.8	2.49717674153e+11	1.51368251418e+11	1.23437098463e+11	95422593615.9	20893037466.7	71074896291.0	71369924962.4	27842116900.9	1.01717319038e+11	82598811313.4	15180858733.5	22695864647.7	1.30979971775e+11	55529384656.2	37257579017.5	31992516214.1	5.42286861257e-05	4.1685079429e-09	7.65499744039e-06	9.74405386198e-05	1.06944448137e-06	3.51784497644e-05	5.6711995749e-07	1.7535244013e-06	5.61866907766e-06	2.14016701732e-05	9.3463169968e-08	4.43426532867e-05	0.004987541511038968	0.0	0.0	0.0	-0.0025501823105141303	0.0	0.0	0.0	-0.0019603229210494017	194611073.55763954	1689189.190405628	6160687.053753464	1689185.4040282373	340.38148782350004	1463134.9551349368	6160687.066997821	1463130.5388407323	-71.59556292351571	0.00484052418364	194941689.157
11	n/a	n/a	1	1	8.0	8.0	0.5	1.0055	-8.47032947254e-20	0.0	-1.18584612616e-19	0.997180378265	0.0	-2.9307339975e-19	3.74388562686e-19	0.997823492261	195864872.042	1917158.86235	6117997.45511	1901299.5547	-740.716891364	1579748.14838	6071290.24716	1580766.77624	260.272297296	95807006356.5	2.09275512025e+11	1.78475384066e+11	1.10173621366e+11	2.9936515342e+11	2.41820793468e+11	79317987059.1	91374762600.6	2.71685097316e+11	1.66881431287e+11	1.36389313773e+11	1.06323302091e+11	26173042339.6	87623324377.1	86977982961.8	33979403504.3	1.22162805591e+11	99741410698.0	19611925729.8	28004047244.2	1.54283043132e+11	67553869608.8	45746233085.5	39685427998.6	6.60862510051e-05	7.50222915378e-09	9.87762138875e-06	0.000116852595921	1.72854454005e-06	4.38530035539e-05	9.57028998227e-07	2.31777098027e-06	6.76227953489e-06	2.46402054828e-05	1.91557413784e-07	5.28648646548e-05	0.005484930230569745	0.0	0.0	0.0	-0.002823604356450222	0.0	0.0	0.0	-0.0021788797744298452	196847137.79218063	1910831.104126132	6101737.116811632	1910834.6051352564	-738.2720874967082	1575549.5132044614	6101737.873664013	1575549.3108724672	259.5805487892727	0.00533711117372	197177545.381
12	n/a	n/a	1	1	8.0	8.0	0.5	1.006	-1.45689666928e-19	0.0	-1.93123511974e-19	0.996911238585	0.0	1.28749007983e-19	-2.80367905541e-19	0.997601876153	197851615.969	2080091.14542	6054380.64374	2061305.07828	-2482.47916914	1700780.29149	6003841.71429	1701945.94351	1205.29044201	1.05439734125e+11	2.31016679138e+11	1.93796315247e+11	1.20194925506e+11	3.25433722552e+11	2.62288939872e+11	88317939046.3	1.01103433589e+11	2.92616483982e+11	1.82193777794e+11	1.49172049942e+11	1.171393174e+11	32055164011.7	1.05285580412e+11	1.03727252144e+11	40763494753.8	1.43824659976e+11	1.17657676222e+11	24365151366.5	33847523152.6	1.78136251799e+11	80444326131.5	55038946816.6	47992062941.7	7.84387469691e-05	1.39395641923e-08	1.24100900062e-05	0.00013711607213	2.42566377599e-06	5.34866536112e-05	1.5121663722e-06	3.4504088442e-06	7.96451198489e-06	2.77226740126e-05	3.71428136846e-07	6.17823900791e-05	0.005982071677547469	0.0	0.0	0.0	-0.0030935414840722155	0.0	0.0	0.0	-0.002401003951478746	198941712.71298042	2072655.519837486	6036917.61583151	2072662.1851864979	-2473.6051418365537	1695874.624759711	6036920.889671345	1695862.0597217905	1201.81394757313	0.00583328227588	199270938.46
13	n/a	n/a	1	1	8.0	8.0	0.5	1.0065	-2.28698895759e-19	0.0	-1.15196480827e-19	0.996645318897	0.0	9.48676900925e-20	-1.16043513774e-19	0.997377204454	199749589.004	2232019.47818	5997760.14331	2210160.20622	-522.09313668	1822920.55241	5943404.69793	1824248.54033	871.039052267	1.14986319032e+11	2.52028489344e+11	2.08585558936e+11	1.30291513279e+11	3.5081954289e+11	2.81864951941e+11	96985444974.1	1.10907978043e+11	3.12763001802e+11	1.97412089559e+11	1.6189222888e+11	1.27895696567e+11	38547880976.7	1.2382071033e+11	1.2152358363e+11	48224708229.6	1.66673102307e+11	1.36337615218e+11	29424517412.9	40237994781.7	2.02629216839e+11	94126582882.4	65073862389.5	56822083525.7	9.10833360878e-05	2.64736329828e-08	1.53159832664e-05	0.000158305914463	3.14114738241e-06	6.41406974355e-05	2.28570641077e-06	4.69176210963e-06	9.1620767142e-06	3.06375661994e-05	5.92946767107e-07	7.08992918594e-05	0.0064789660977090735	0.0	0.0	0.0	-0.003360320661797863	0.0	0.0	0.0	-0.0026262411002130536	200948988.81393093	2223436.665167211	5979084.392672235	2223431.150828572	-520.0855252719499	1817244.365157457	5979091.972685279	1817233.7341136707	868.3268217430707	0.00632903775125	201276955.121
14	n/a	n/a	1	1	8.0	8.0	0.5	1.007	-1.94817577868e-19	0.0	-1.01643953671e-19	0.996381550902	0.0	-2.43945488809e-19	-6.77626357803e-21	0.997150568339	201574823.565	2378508.38355	5948958.99406	2353430.25038	-772.301292945	1945440.66779	5890782.96774	1946930.38133	211.085846219	1.24335517321e+11	2.72330478091e+11	2.22746929289e+11	1.40235981585e+11	3.7554426986e+11	3.007835124e+11	1.05399224175e+11	1.20633619198e+11	3.32348018489e+11	2.12479923617e+11	1.74346679167e+11	1.3849177368e+11	45539985945.2	1.43245032608e+11	1.40144104928e+11	56248971675.5	1.90705151418e+11	1.55779417118e+11	34829039744.3	47132806770.6	2.2796654835e+11	1.08568997324e+11	75770630693.7	66190738089.8	0.000104154393388	5.16628087737e-08	1.86321096055e-05	0.000180450205766	3.87601414607e-06	7.5629473022e-05	3.1619827879e-06	5.94426236973e-06	1.03238161811e-05	3.33914358293e-05	8.63656958836e-07	8.00736637703e-05	0.006975613736425138	0.0	0.0	0.0	-0.0036250115202471774	0.0	0.0	0.0	-0.0028534990196730217	202884967.49232435	2368724.0790055613	5929059.754704917	2368726.4679154335	-769.1243308192837	1938933.1780698455	5929070.355995516	1938921.4292029021	210.3797650739484	0.00682446489466	203214162.225
15	n/a	n/a	1	1	8.0	8.0	0.5	1.0075	5.08219768353e-20	0.0	9.9949887776e-20	0.996118701455	0.0	-4.40457132572e-20	1.86347248396e-19	0.996923239229	203338294.123	2518404.55712	5914518.70911	2489954.91387	255.386473892	2083568.72947	5852421.13117	2085249.5106	3413.30135335	1.33439335609e+11	2.91980942237e+11	2.36333692228e+11	1.49926052565e+11	3.99634659884e+11	3.19162016973e+11	1.13601455972e+11	1.30246487648e+11	3.51363443951e+11	2.27427234175e+11	1.86504176437e+11	1.48868393057e+11	52973972963.6	1.63565678492e+11	1.59502925366e+11	64755637639.7	2.15863579398e+11	1.75990611158e+11	40595038200.8	54491652556.5	2.54193875881e+11	1.23751409263e+11	87075377759.5	76067419897.2	0.000117624005395	1.29705486688e-07	2.22575490907e-05	0.000203495863202	4.63532641728e-06	8.7721114448e-05	4.12899393448e-06	7.2116340239e-06	1.14647235767e-05	3.6029763183e-05	1.1846037824e-06	8.93416257283e-05	0.0074720148387010564	0.0	0.0	0.0	-0.003888850331021954	0.0	0.0	0.0	-0.0030815037305541235	204760585.20492858	2507371.711575578	5893363.938736653	2507371.410274063	254.2676546329503	2076116.3195281508	5893357.08186465	2076114.2683264783	3401.0928187427917	0.00731965117763	205090554.111
16	n/a	n/a	1	1	8.0	8.0	0.5	1.008	-3.38813178902e-21	0.0	9.82558218815e-20	0.995856799236	0.0	1.18584612616e-19	6.57297567069e-19	0.996695145534	205041459.267	2648176.37918	5905878.99858	2616290.91658	-4543.31263536	2231156.68157	5839636.98883	2233036.87394	-3178.09319551	1.4232665462e+11	3.11014262767e+11	2.49435408895e+11	1.59360328232e+11	4.23122104971e+11	3.37021492189e+11	1.21621364208e+11	1.39824696761e+11	3.69866608848e+11	2.42370803129e+11	1.98346710252e+11	1.59065041002e+11	60789990901.5	1.84651508498e+11	1.79550966171e+11	73721959922.2	2.42112391835e+11	1.96859748982e+11	46708528551.5	62288436078.4	2.81256451324e+11	1.39661685023e+11	98924475152.8	86434338332.3	0.000131351814695	3.13368335171e-07	2.62305791522e-05	0.00022750718035	5.44166890885e-06	0.000100429252798	5.14158041819e-06	8.52102307344e-06	1.2577973504e-05	3.85548373669e-05	1.55715097007e-06	9.86412400378e-05	0.007968169649176881	0.0	0.0	0.0	-0.004151807601749959	0.0	0.0	0.0	-0.0033103275593656316	206577229.28499874	2635870.2739761123	5883382.979892911	2635887.0566114355	-4522.199810812336	2222658.0072127213	5883376.140099712	2222659.926652457	-3165.9875557004634	0.00781460792374	206918453.871
17	n/a	n/a	1	1	8.0	8.0	0.5	1.0085	-1.08420217249e-19	0.0	-6.77626357803e-21	0.995595548277	0.0	-8.13151629364e-20	-7.14895807483e-19	0.996466689354	206696427.412	2762392.59664	5917707.61032	2727053.04447	-5356.75518694	2368937.24404	5847097.49842	2371005.20214	176.292434501	1.50979334687e+11	3.29465368286e+11	2.62177055228e+11	1.68527361999e+11	4.46045450365e+11	3.54450412896e+11	1.29528435556e+11	1.49309547457e+11	3.87893552677e+11	2.57299894125e+11	2.0984058969e+11	1.69096951906e+11	68966423894.2	2.06452500343e+11	2.00264308968e+11	83108252437.4	2.69401696743e+11	2.18374983256e+11	53182777197.4	70505521008.3	3.0911276904e+11	1.56272451774e+11	1.11235843506e+11	97280195354.9	0.00014525086847	6.21058690263e-07	3.05292774219e-05	0.000252279510797	6.33357665448e-06	0.000113647984909	6.19547731404e-06	1.00099552937e-05	1.36565809706e-05	4.09811034608e-05	1.98015896932e-06	0.000107990566742	0.008464078412129364	0.0	0.0	0.0	-0.0044141798958438104	0.0	0.0	0.0	-0.003539567530752965	208346993.98290685	2748822.604449909	5893789.959768688	2748829.8243043213	-5330.440634063113	2359362.6896834904	5893789.276253626	2359357.863483344	175.579911828218	0.00830932541396	208693847.725
18	n/a	n/a	1	1	8.0	8.0	0.5	1.009	1.01643953671e-19	0.0	-5.62429876977e-19	0.995334552431	0.0	-9.14795583035e-20	-1.13333008343e-18	0.996238220016	208300403.853	2871237.33824	5953119.33971	2832351.71228	-1640.59245776	2505610.38583	5877830.61909	2507889.87074	-2673.25221327	1.59406022497e+11	3.47454195695e+11	2.74542954287e+11	1.77467816063e+11	4.68469731763e+11	3.71459393288e+11	1.37325640776e+11	1.58682027219e+11	4.05540983032e+11	2.72189368683e+11	2.21053990354e+11	1.78939195691e+11	77481301564.9	2.2886160188e+11	2.21588633331e+11	92913866620.7	2.97691550011e+11	2.4049380379e+11	60010060037.9	79102232570.4	3.37780394351e+11	1.73555322702e+11	1.23976311614e+11	1.08535036522e+11	0.000159318339935	9.52909884994e-07	3.51377155471e-05	0.000277614886022	7.33267303931e-06	0.000127332964646	7.30439262739e-06	1.19100618334e-05	1.46876615279e-05	4.33111639756e-05	2.45369760709e-06	0.000117405693534	0.008959741371471801	0.0	0.0	0.0	-0.004676364738398085	0.0	0.0	0.0	-0.0037688732728394497	210066999.50198284	2856371.739996758	5927674.421424412	2856372.886117157	-1632.0984234866444	2494900.8656801707	5927680.498423265	2494905.474514654	-2661.8261557290953	0.00880384463192	210422452.678
19	n/a	n/a	1	1	8.0	8.0	0.5	1.0095	-1.01643953671e-20	0.0	-1.76182853029e-19	0.995073397125	0.0	7.45388993584e-20	-6.60685698858e-19	0.996010167594	209860381.455	2974698.59968	6002939.33	2932184.66898	-1623.21553329	2639427.29361	5922728.86884	2641917.86331	-2622.52674974	1.67652086772e+11	3.64997790964e+11	2.86536926782e+11	1.86181230467e+11	4.90394226879e+11	3.88115249666e+11	1.4498745448e+11	1.67937865922e+11	4.22955555814e+11	2.86971075802e+11	2.32077656032e+11	1.88561752503e+11	86338725641.4	2.51856154972e+11	2.43476160016e+11	1.03145075183e+11	3.26878734251e+11	2.63242470515e+11	67168477833.8	88063300955.8	3.67257908168e+11	1.91462948219e+11	1.3709185399e+11	1.20155202964e+11	0.000173436984275	1.33927500125e-06	4.00555921182e-05	0.000303471002227	8.39301885233e-06	0.000141419817901	8.50530999375e-06	1.41539666896e-05	1.56729148487e-05	4.55499642671e-05	2.96988142477e-06	0.000126883470017	0.009455158770755197	0.0	0.0	0.0	-0.004938778589344684	0.0	0.0	0.0	-0.0039978130219336565	211744223.00337163	2958508.857614092	5975888.9047625	2958505.8415073035	-1614.3812127964325	2627533.5151207186	5975895.086520079	2627539.274241882	-2610.70912842528	0.00929818738585	212109911.636
