# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
   5900    3.36e+00  3.75e+00    1.58e-01  1.57e-01    1.22e-01  1.37e-01    7.5e-04
   6000    3.27e+00  3.93e+00    3.27e-02  3.26e-02    1.20e-01  1.44e-01    7.5e-04
   6100    3.24e+00  2.92e+00    1.61e-02  1.60e-02    1.18e-01  1.07e-01    7.5e-04
   6200    3.10e+00  3.82e+00    2.90e-02  2.91e-02    1.13e-01  1.39e-01    7.5e-04
   6300    3.40e+00  4.07e+00    5.79e-02  5.81e-02    1.24e-01  1.49e-01    7.5e-04
   6400    3.11e+00  3.46e+00    9.47e-02  9.52e-02    1.13e-01  1.26e-01    7.5e-04
   6500    3.19e+00  3.74e+00    2.09e-02  2.06e-02    1.17e-01  1.37e-01    7.5e-04
   6600    3.25e+00  3.69e+00    2.57e-02  2.61e-02    1.19e-01  1.35e-01    7.5e-04
   6700    3.17e+00  4.08e+00    1.09e-01  1.09e-01    1.15e-01  1.49e-01    7.5e-04
   6800    3.22e+00  3.42e+00    2.48e-02  2.49e-02    1.18e-01  1.25e-01    7.5e-04
   6900    3.15e+00  4.40e+00    9.41e-02  9.45e-02    1.15e-01  1.61e-01    7.5e-04
   7000    3.25e+00  3.82e+00    6.39e-02  6.38e-02    1.19e-01  1.39e-01    7.5e-04
   7100    3.15e+00  2.67e+00    6.82e-02  6.84e-02    1.15e-01  9.75e-02    7.5e-04
   7200    3.35e+00  3.96e+00    1.14e-02  1.18e-02    1.22e-01  1.45e-01    7.5e-04
   7300    3.28e+00  5.01e+00    1.35e-01  1.35e-01    1.20e-01  1.83e-01    7.5e-04
   7400    3.15e+00  3.04e+00    2.59e-02  2.63e-02    1.15e-01  1.11e-01    7.5e-04
   7500    3.60e+00  3.84e+00    6.11e-02  6.07e-02    1.32e-01  1.40e-01    7.5e-04
   7600    3.16e+00  3.36e+00    5.93e-02  5.90e-02    1.15e-01  1.23e-01    7.5e-04
   7700    3.43e+00  4.37e+00    4.49e-02  4.52e-02    1.25e-01  1.59e-01    7.5e-04
   7800    3.19e+00  4.29e+00    8.01e-02  7.97e-02    1.16e-01  1.57e-01    7.5e-04
   7900    3.37e+00  3.23e+00    7.33e-02  7.28e-02    1.23e-01  1.18e-01    7.5e-04
   8000    3.20e+00  4.24e+00    1.74e-02  1.78e-02    1.17e-01  1.55e-01    7.5e-04
   8100    3.27e+00  3.93e+00    9.64e-02  9.66e-02    1.19e-01  1.44e-01    7.5e-04
   8200    3.09e+00  3.30e+00    7.90e-02  7.98e-02    1.13e-01  1.20e-01    7.5e-04
   8300    3.28e+00  3.82e+00    5.59e-02  5.61e-02    1.20e-01  1.39e-01    7.5e-04
   8400    3.29e+00  3.33e+00    4.53e-02  4.54e-02    1.20e-01  1.22e-01    7.5e-04
   8500    3.26e+00  4.03e+00    7.77e-02  7.75e-02    1.19e-01  1.47e-01    7.5e-04
   8600    3.32e+00  4.10e+00    1.42e-02  1.44e-02    1.21e-01  1.50e-01    7.5e-04
   8700    3.19e+00  2.19e+00    1.39e-01  1.38e-01    1.16e-01  7.96e-02    7.5e-04
   8800    3.62e+00  3.41e+00    1.90e-02  1.90e-02    1.32e-01  1.24e-01    7.5e-04
   8900    3.16e+00  4.85e+00    2.02e-01  2.03e-01    1.15e-01  1.77e-01    7.5e-04
   9000    3.27e+00  4.21e+00    7.87e-03  7.71e-03    1.20e-01  1.54e-01    7.5e-04
   9100    3.25e+00  4.36e+00    1.33e-01  1.33e-01    1.19e-01  1.59e-01    7.5e-04
   9200    3.22e+00  3.09e+00    3.34e-02  3.30e-02    1.18e-01  1.13e-01    7.5e-04
   9300    3.56e+00  4.01e+00    6.31e-02  6.33e-02    1.30e-01  1.46e-01    7.5e-04
   9400    3.16e+00  3.67e+00    1.32e-01  1.31e-01    1.15e-01  1.34e-01    7.5e-04
   9500    3.88e+00  4.01e+00    7.43e-02  7.45e-02    1.42e-01  1.47e-01    7.5e-04
   9600    3.27e+00  3.04e+00    1.04e-01  1.03e-01    1.19e-01  1.11e-01    7.5e-04
   9700    3.29e+00  3.42e+00    5.38e-02  5.36e-02    1.20e-01  1.25e-01    7.5e-04
   9800    3.25e+00  2.04e+00    3.69e-02  3.69e-02    1.19e-01  7.46e-02    7.5e-04
   9900    3.43e+00  4.41e+00    1.98e-02  1.99e-02    1.25e-01  1.61e-01    7.5e-04
  10000    2.93e+00  3.30e+00    9.45e-02  9.50e-02    1.23e-01  1.39e-01    5.6e-04
  10100    3.00e+00  2.87e+00    2.70e-02  2.68e-02    1.27e-01  1.21e-01    5.6e-04
  10200    2.73e+00  3.51e+00    1.18e-02  1.16e-02    1.15e-01  1.48e-01    5.6e-04
  10300    2.93e+00  2.08e+00    1.63e-02  1.64e-02    1.24e-01  8.75e-02    5.6e-04
  10400    2.98e+00  3.31e+00    2.33e-02  2.35e-02    1.26e-01  1.40e-01    5.6e-04
  10500    2.86e+00  3.33e+00    4.23e-02  4.21e-02    1.21e-01  1.40e-01    5.6e-04
  10600    3.06e+00  2.80e+00    8.61e-02  8.58e-02    1.29e-01  1.18e-01    5.6e-04
  10700    2.77e+00  3.77e+00    2.07e-02  2.04e-02    1.17e-01  1.59e-01    5.6e-04
  10800    3.09e+00  3.75e+00    7.53e-02  7.49e-02    1.30e-01  1.58e-01    5.6e-04
  10900    2.89e+00  4.05e+00    3.07e-02  3.05e-02    1.22e-01  1.71e-01    5.6e-04
  11000    3.25e+00  2.90e+00    8.93e-02  8.92e-02    1.37e-01  1.22e-01    5.6e-04
  11100    3.03e+00  2.54e+00    7.89e-02  7.90e-02    1.27e-01  1.07e-01    5.6e-04
  11200    2.97e+00  2.90e+00    5.14e-02  5.16e-02    1.25e-01  1.22e-01    5.6e-04
