# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
  26000    1.88e+00  1.51e+00    3.49e-02  3.48e-02    1.22e-01  9.81e-02    2.4e-04
  26100    1.99e+00  1.71e+00    6.65e-02  6.64e-02    1.29e-01  1.11e-01    2.4e-04
  26200    1.88e+00  2.38e+00    1.53e-02  1.51e-02    1.22e-01  1.54e-01    2.4e-04
  26300    1.96e+00  1.67e+00    4.18e-02  4.18e-02    1.27e-01  1.08e-01    2.4e-04
  26400    1.92e+00  2.14e+00    3.22e-02  3.22e-02    1.25e-01  1.39e-01    2.4e-04
  26500    1.93e+00  1.87e+00    2.60e-02  2.60e-02    1.25e-01  1.21e-01    2.4e-04
  26600    1.92e+00  1.91e+00    1.98e-02  1.96e-02    1.25e-01  1.24e-01    2.4e-04
  26700    1.94e+00  1.62e+00    4.29e-02  4.25e-02    1.25e-01  1.05e-01    2.4e-04
  26800    1.93e+00  1.70e+00    4.97e-02  4.94e-02    1.25e-01  1.10e-01    2.4e-04
  26900    1.88e+00  2.16e+00    3.08e-02  3.09e-02    1.22e-01  1.40e-01    2.4e-04
  27000    2.02e+00  2.23e+00    4.15e-02  4.15e-02    1.31e-01  1.45e-01    2.4e-04
  27100    1.92e+00  2.24e+00    3.34e-02  3.31e-02    1.25e-01  1.45e-01    2.4e-04
  27200    1.95e+00  1.65e+00    1.56e-02  1.58e-02    1.27e-01  1.07e-01    2.4e-04
  27300    1.91e+00  1.61e+00    3.67e-02  3.65e-02    1.24e-01  1.05e-01    2.4e-04
  27400    2.01e+00  1.68e+00    2.58e-02  2.59e-02    1.30e-01  1.09e-01    2.4e-04
  27500    1.87e+00  2.31e+00    2.13e-02  2.10e-02    1.21e-01  1.50e-01    2.4e-04
  27600    1.99e+00  2.01e+00    2.87e-02  2.88e-02    1.29e-01  1.30e-01    2.4e-04
  27700    1.98e+00  1.63e+00    1.89e-02  1.86e-02    1.28e-01  1.06e-01    2.4e-04
  27800    1.85e+00  1.27e+00    1.79e-02  1.81e-02    1.20e-01  8.22e-02    2.4e-04
  27900    1.99e+00  2.10e+00    2.48e-02  2.45e-02    1.29e-01  1.36e-01    2.4e-04
  28000    1.91e+00  2.03e+00    1.40e-02  1.37e-02    1.24e-01  1.31e-01    2.4e-04
  28100    1.97e+00  1.62e+00    1.73e-02  1.75e-02    1.28e-01  1.05e-01    2.4e-04
  28200    1.91e+00  2.25e+00    1.09e-02  1.12e-02    1.24e-01  1.46e-01    2.4e-04
  28300    1.98e+00  1.61e+00    4.45e-02  4.40e-02    1.28e-01  1.05e-01    2.4e-04
  28400    1.95e+00  2.09e+00    1.74e-02  1.75e-02    1.26e-01  1.35e-01    2.4e-04
  28500    1.99e+00  2.05e+00    1.05e-02  1.04e-02    1.29e-01  1.33e-01    2.4e-04
  28600    1.95e+00  1.66e+00    1.35e-02  1.28e-02    1.26e-01  1.07e-01    2.4e-04
  28700    1.88e+00  1.69e+00    6.90e-02  6.90e-02    1.21e-01  1.09e-01    2.4e-04
  28800    1.98e+00  2.46e+00    7.09e-03  7.10e-03    1.29e-01  1.60e-01    2.4e-04
  28900    1.92e+00  2.52e+00    3.67e-02  3.64e-02    1.25e-01  1.63e-01    2.4e-04
  29000    2.00e+00  1.84e+00    2.22e-02  2.24e-02    1.30e-01  1.19e-01    2.4e-04
  29100    1.91e+00  1.88e+00    2.99e-03  3.00e-03    1.24e-01  1.22e-01    2.4e-04
  29200    2.05e+00  1.92e+00    2.00e-02  2.04e-02    1.33e-01  1.24e-01    2.4e-04
  29300    1.92e+00  1.55e+00    4.72e-02  4.69e-02    1.25e-01  1.01e-01    2.4e-04
  29400    1.94e+00  2.53e+00    4.32e-02  4.33e-02    1.26e-01  1.64e-01    2.4e-04
  29500    1.96e+00  1.32e+00    7.77e-03  7.67e-03    1.27e-01  8.53e-02    2.4e-04
  29600    1.89e+00  2.11e+00    2.21e-02  2.22e-02    1.23e-01  1.37e-01    2.4e-04
  29700    2.00e+00  2.03e+00    3.93e-02  3.94e-02    1.29e-01  1.31e-01    2.4e-04
  29800    1.81e+00  1.64e+00    3.28e-02  3.22e-02    1.17e-01  1.07e-01    2.4e-04
  29900    1.98e+00  1.55e+00    4.41e-02  4.39e-02    1.29e-01  1.00e-01    2.4e-04
  30000    1.65e+00  1.36e+00    1.07e-02  1.07e-02    1.23e-01  1.01e-01    1.8e-04
  30100    1.66e+00  1.78e+00    1.58e-02  1.60e-02    1.24e-01  1.33e-01    1.8e-04
  30200    1.66e+00  1.60e+00    1.78e-02  1.78e-02    1.24e-01  1.19e-01    1.8e-04
  30300    1.67e+00  1.79e+00    1.52e-02  1.47e-02    1.25e-01  1.34e-01    1.8e-04
  30400    1.66e+00  1.37e+00    2.94e-03  3.05e-03    1.24e-01  1.03e-01    1.8e-04
  30500    1.63e+00  1.58e+00    1.09e-02  1.08e-02    1.22e-01  1.19e-01    1.8e-04
  30600    1.69e+00  1.44e+00    2.40e-03  2.61e-03    1.26e-01  1.07e-01    1.8e-04
  30700    1.70e+00  1.30e+00    1.47e-02  1.41e-02    1.27e-01  9.72e-02    1.8e-04
  30800    1.68e+00  1.77e+00    2.29e-02  2.31e-02    1.26e-01  1.33e-01    1.8e-04
  30900    1.61e+00  1.16e+00    2.23e-02  2.19e-02    1.20e-01  8.70e-02    1.8e-04
  31000    1.72e+00  1.79e+00    2.28e-02  2.31e-02    1.29e-01  1.34e-01    1.8e-04
  31100    1.72e+00  1.55e+00    2.53e-02  2.56e-02    1.29e-01  1.16e-01    1.8e-04
  31200    1.67e+00  1.64e+00    3.84e-03  4.29e-03    1.25e-01  1.23e-01    1.8e-04
  31300    1.68e+00  1.37e+00    3.67e-02  3.66e-02    1.26e-01  1.02e-01    1.8e-04
  31400    1.69e+00  1.62e+00    1.64e-02  1.65e-02    1.26e-01  1.21e-01    1.8e-04
  31500    1.69e+00  1.72e+00    5.81e-03  5.74e-03    1.27e-01  1.29e-01    1.8e-04
  31600    1.58e+00  2.22e+00    1.85e-02  1.83e-02    1.18e-01  1.66e-01    1.8e-04
  31700    1.67e+00  1.70e+00    1.48e-02  1.49e-02    1.25e-01  1.27e-01    1.8e-04
  31800    1.61e+00  1.53e+00    5.45e-03  5.43e-03    1.20e-01  1.15e-01    1.8e-04
  31900    1.68e+00  1.26e+00    6.80e-03  6.36e-03    1.26e-01  9.46e-02    1.8e-04
  32000    1.64e+00  1.84e+00    1.65e-03  1.82e-03    1.23e-01  1.38e-01    1.8e-04
  32100    1.70e+00  1.82e+00    7.27e-03  7.07e-03    1.28e-01  1.36e-01    1.8e-04
  32200    1.74e+00  1.34e+00    3.59e-02  3.54e-02    1.30e-01  1.00e-01    1.8e-04
  32300    1.65e+00  1.14e+00    1.58e-02  1.58e-02    1.24e-01  8.56e-02    1.8e-04
  32400    1.70e+00  1.88e+00    3.68e-02  3.66e-02    1.27e-01  1.41e-01    1.8e-04
  32500    1.61e+00  1.92e+00    5.62e-02  5.59e-02    1.20e-01  1.44e-01    1.8e-04
  32600    1.67e+00  1.46e+00    2.74e-03  2.60e-03    1.25e-01  1.09e-01    1.8e-04
  32700    1.64e+00  1.52e+00    2.27e-02  2.27e-02    1.22e-01  1.13e-01    1.8e-04
  32800    1.68e+00  1.72e+00    9.47e-03  9.73e-03    1.26e-01  1.29e-01    1.8e-04
  32900    1.67e+00  1.48e+00    3.24e-02  3.21e-02    1.25e-01  1.10e-01    1.8e-04
  33000    1.68e+00  1.55e+00    4.56e-03  4.87e-03    1.26e-01  1.16e-01    1.8e-04
  33100    1.74e+00  1.37e+00    3.02e-02  3.01e-02    1.30e-01  1.02e-01    1.8e-04
  33200    1.64e+00  1.50e+00    2.74e-02  2.73e-02    1.22e-01  1.12e-01    1.8e-04
  33300    1.72e+00  1.67e+00    1.41e-02  1.38e-02    1.29e-01  1.25e-01    1.8e-04
  33400    1.60e+00  1.79e+00    1.22e-02  1.19e-02    1.20e-01  1.34e-01    1.8e-04
  33500    1.68e+00  1.61e+00    7.41e-03  7.24e-03    1.26e-01  1.20e-01    1.8e-04
  33600    1.63e+00  1.64e+00    1.46e-02  1.47e-02    1.22e-01  1.23e-01    1.8e-04
  33700    1.71e+00  1.02e+00    2.24e-02  2.30e-02    1.28e-01  7.61e-02    1.8e-04
  33800    1.63e+00  1.18e+00    9.48e-03  9.40e-03    1.22e-01  8.85e-02    1.8e-04
  33900    1.67e+00  2.00e+00    2.00e-02  1.98e-02    1.25e-01  1.49e-01    1.8e-04
  34000    1.75e+00  1.13e+00    5.14e-02  5.14e-02    1.31e-01  8.44e-02    1.8e-04
  34100    1.68e+00  1.69e+00    1.31e-02  1.33e-02    1.25e-01  1.27e-01    1.8e-04
  34200    1.68e+00  1.78e+00    2.39e-02  2.38e-02    1.25e-01  1.33e-01    1.8e-04
  34300    1.61e+00  1.64e+00    1.19e-02  1.13e-02    1.20e-01  1.23e-01    1.8e-04
  34400    1.71e+00  1.48e+00    2.97e-03  2.93e-03    1.28e-01  1.11e-01    1.8e-04
  34500    1.63e+00  1.81e+00    1.27e-02  1.30e-02    1.22e-01  1.36e-01    1.8e-04
  34600    1.68e+00  1.45e+00    1.70e-03  1.15e-03    1.26e-01  1.08e-01    1.8e-04
  34700    1.65e+00  1.85e+00    9.98e-03  9.80e-03    1.24e-01  1.39e-01    1.8e-04
  34800    1.68e+00  2.06e+00    3.31e-03  3.61e-03    1.26e-01  1.54e-01    1.8e-04
  34900    1.70e+00  1.55e+00    3.62e-02  3.58e-02    1.27e-01  1.16e-01    1.8e-04
  35000    1.49e+00  1.55e+00    4.68e-02  4.69e-02    1.28e-01  1.33e-01    1.3e-04
  35100    1.47e+00  1.43e+00    1.09e-02  1.08e-02    1.27e-01  1.23e-01    1.3e-04
  35200    1.45e+00  1.83e+00    9.75e-03  1.02e-02    1.25e-01  1.58e-01    1.3e-04
  35300    1.48e+00  1.30e+00    1.02e-02  1.02e-02    1.28e-01  1.12e-01    1.3e-04
  35400    1.40e+00  1.49e+00    6.86e-03  6.86e-03    1.21e-01  1.29e-01    1.3e-04
  35500    1.47e+00  1.47e+00    4.95e-03  4.26e-03    1.27e-01  1.27e-01    1.3e-04
  35600    1.44e+00  1.78e+00    1.32e-02  1.34e-02    1.24e-01  1.54e-01    1.3e-04
  35700    1.47e+00  1.54e+00    1.62e-03  1.22e-03    1.27e-01  1.33e-01    1.3e-04
  35800    1.43e+00  1.25e+00    3.92e-03  3.55e-03    1.23e-01  1.08e-01    1.3e-04
  35900    1.42e+00  1.27e+00    1.14e-02  1.15e-02    1.23e-01  1.09e-01    1.3e-04
  36000    1.43e+00  1.44e+00    3.29e-03  3.31e-03    1.23e-01  1.25e-01    1.3e-04
  36100    1.42e+00  1.67e+00    8.23e-03  7.95e-03    1.23e-01  1.45e-01    1.3e-04
  36200    1.46e+00  1.55e+00    1.91e-02  1.89e-02    1.26e-01  1.34e-01    1.3e-04
  36300    1.44e+00  1.25e+00    2.29e-03  2.37e-03    1.24e-01  1.08e-01    1.3e-04
  36400    1.48e+00  1.59e+00    4.11e-03  4.36e-03    1.28e-01  1.37e-01    1.3e-04
  36500    1.40e+00  1.67e+00    8.42e-03  8.31e-03    1.21e-01  1.44e-01    1.3e-04
  36600    1.42e+00  1.60e+00    1.05e-02  1.07e-02    1.22e-01  1.38e-01    1.3e-04
  36700    1.41e+00  1.14e+00    1.76e-02  1.75e-02    1.22e-01  9.85e-02    1.3e-04
  36800    1.45e+00  1.65e+00    1.90e-03  1.61e-03    1.25e-01  1.42e-01    1.3e-04
  36900    1.47e+00  1.37e+00    2.46e-02  2.43e-02    1.27e-01  1.18e-01    1.3e-04
  37000    1.42e+00  1.47e+00    4.79e-03  5.21e-03    1.23e-01  1.27e-01    1.3e-04
  37100    1.50e+00  1.22e+00    3.80e-02  3.79e-02    1.29e-01  1.05e-01    1.3e-04
  37200    1.43e+00  1.24e+00    1.51e-02  1.52e-02    1.24e-01  1.07e-01    1.3e-04
  37300    1.44e+00  1.52e+00    1.72e-02  1.72e-02    1.25e-01  1.31e-01    1.3e-04
  37400    1.45e+00  1.45e+00    2.34e-02  2.35e-02    1.25e-01  1.25e-01    1.3e-04
  37500    1.44e+00  1.25e+00    9.07e-03  8.66e-03    1.25e-01  1.08e-01    1.3e-04
  37600    1.50e+00  1.11e+00    2.57e-02  2.53e-02    1.29e-01  9.58e-02    1.3e-04
  37700    1.42e+00  1.17e+00    2.21e-02  2.20e-02    1.22e-01  1.01e-01    1.3e-04
  37800    1.52e+00  1.48e+00    4.04e-03  3.96e-03    1.31e-01  1.28e-01    1.3e-04
  37900    1.43e+00  1.69e+00    9.86e-03  1.02e-02    1.24e-01  1.46e-01    1.3e-04
  38000    1.48e+00  1.35e+00    4.21e-02  4.20e-02    1.27e-01  1.16e-01    1.3e-04
  38100    1.46e+00  1.16e+00    1.88e-02  1.87e-02    1.26e-01  1.00e-01    1.3e-04
  38200    1.46e+00  1.32e+00    1.80e-02  1.83e-02    1.26e-01  1.14e-01    1.3e-04
  38300    1.44e+00  1.36e+00    1.38e-02  1.40e-02    1.25e-01  1.18e-01    1.3e-04
  38400    1.40e+00  1.63e+00    1.18e-02  1.13e-02    1.21e-01  1.41e-01    1.3e-04
  38500    1.48e+00  1.30e+00    1.68e-03  1.49e-03    1.28e-01  1.13e-01    1.3e-04
  38600    1.41e+00  1.44e+00    1.17e-02  1.12e-02    1.21e-01  1.24e-01    1.3e-04
  38700    1.49e+00  1.47e+00    1.76e-02  1.76e-02    1.28e-01  1.27e-01    1.3e-04
  38800    1.40e+00  1.53e+00    2.23e-02  2.19e-02    1.21e-01  1.32e-01    1.3e-04
  38900    1.45e+00  1.65e+00    4.56e-03  4.67e-03    1.25e-01  1.43e-01    1.3e-04
  39000    1.43e+00  1.24e+00    1.42e-02  1.40e-02    1.23e-01  1.07e-01    1.3e-04
  39100    1.48e+00  1.26e+00    2.37e-02  2.43e-02    1.27e-01  1.09e-01    1.3e-04
  39200    1.41e+00  1.18e+00    2.72e-02  2.72e-02    1.21e-01  1.02e-01    1.3e-04
  39300    1.47e+00  1.61e+00    1.28e-02  1.31e-02    1.27e-01  1.39e-01    1.3e-04
  39400    1.43e+00  7.79e-01    1.60e-02  1.61e-02    1.24e-01  6.72e-02    1.3e-04
  39500    1.42e+00  1.44e+00    3.00e-02  3.03e-02    1.22e-01  1.24e-01    1.3e-04
  39600    1.49e+00  1.34e+00    1.20e-02  1.24e-02    1.28e-01  1.15e-01    1.3e-04
  39700    1.41e+00  1.79e+00    1.88e-02  1.84e-02    1.22e-01  1.54e-01    1.3e-04
  39800    1.44e+00  1.28e+00    1.23e-02  1.24e-02    1.24e-01  1.11e-01    1.3e-04
  39900    1.41e+00  1.32e+00    3.63e-02  3.62e-02    1.22e-01  1.13e-01    1.3e-04
  40000    1.27e+00  1.05e+00    1.59e-02  1.63e-02    1.26e-01  1.04e-01    1.0e-04
  40100    1.25e+00  1.36e+00    7.91e-03  7.85e-03    1.24e-01  1.35e-01    1.0e-04
  40200    1.28e+00  1.42e+00    1.43e-02  1.47e-02    1.27e-01  1.42e-01    1.0e-04
  40300    1.22e+00  7.99e-01    1.40e-03  1.16e-03    1.22e-01  7.96e-02    1.0e-04
  40400    1.25e+00  7.18e-01    4.58e-03  4.73e-03    1.24e-01  7.15e-02    1.0e-04
  40500    1.26e+00  1.05e+00    1.90e-02  1.93e-02    1.26e-01  1.04e-01    1.0e-04
  40600    1.26e+00  1.43e+00    1.86e-02  1.83e-02    1.25e-01  1.42e-01    1.0e-04
  40700    1.29e+00  1.41e+00    9.27e-03  9.08e-03    1.28e-01  1.41e-01    1.0e-04
  40800    1.23e+00  1.21e+00    2.28e-02  2.26e-02    1.22e-01  1.20e-01    1.0e-04
  40900    1.25e+00  1.08e+00    9.68e-03  1.02e-02    1.25e-01  1.08e-01    1.0e-04
  41000    1.27e+00  1.14e+00    2.00e-03  2.12e-03    1.26e-01  1.13e-01    1.0e-04
  41100    1.23e+00  9.81e-01    5.78e-03  5.21e-03    1.23e-01  9.76e-02    1.0e-04
  41200    1.29e+00  1.04e+00    1.00e-03  7.59e-04    1.28e-01  1.03e-01    1.0e-04
  41300    1.25e+00  1.12e+00    3.36e-02  3.36e-02    1.24e-01  1.12e-01    1.0e-04
  41400    1.25e+00  9.72e-01    5.50e-03  5.48e-03    1.24e-01  9.67e-02    1.0e-04
  41500    1.22e+00  1.37e+00    3.22e-02  3.19e-02    1.22e-01  1.36e-01    1.0e-04
  41600    1.26e+00  1.43e+00    2.54e-02  2.56e-02    1.25e-01  1.42e-01    1.0e-04
  41700    1.20e+00  1.40e+00    2.75e-02  2.79e-02    1.20e-01  1.40e-01    1.0e-04
  41800    1.26e+00  1.10e+00    1.46e-03  9.07e-04    1.26e-01  1.10e-01    1.0e-04
  41900    1.23e+00  1.17e+00    5.30e-03  5.45e-03    1.23e-01  1.17e-01    1.0e-04
  42000    1.25e+00  1.26e+00    1.02e-02  1.05e-02    1.24e-01  1.26e-01    1.0e-04
  42100    1.25e+00  9.11e-01    1.35e-02  1.30e-02    1.25e-01  9.07e-02    1.0e-04
  42200    1.23e+00  8.17e-01    5.42e-03  5.56e-03    1.22e-01  8.14e-02    1.0e-04
  42300    1.32e+00  1.14e+00    8.21e-03  8.44e-03    1.31e-01  1.13e-01    1.0e-04
  42400    1.21e+00  1.67e+00    1.26e-02  1.25e-02    1.21e-01  1.66e-01    1.0e-04
  42500    1.29e+00  1.27e+00    1.12e-02  1.11e-02    1.28e-01  1.27e-01    1.0e-04
  42600    1.22e+00  1.33e+00    1.83e-02  1.86e-02    1.21e-01  1.32e-01    1.0e-04
  42700    1.24e+00  1.35e+00    3.22e-03  2.77e-03    1.24e-01  1.34e-01    1.0e-04
  42800    1.22e+00  1.19e+00    4.41e-03  4.31e-03    1.22e-01  1.18e-01    1.0e-04
  42900    1.26e+00  1.09e+00    9.78e-04  4.24e-04    1.25e-01  1.09e-01    1.0e-04
  43000    1.25e+00  1.12e+00    1.07e-02  1.09e-02    1.24e-01  1.11e-01    1.0e-04
  43100    1.21e+00  1.14e+00    8.05e-03  7.80e-03    1.21e-01  1.13e-01    1.0e-04
  43200    1.26e+00  8.06e-01    2.03e-02  2.02e-02    1.25e-01  8.02e-02    1.0e-04
  43300    1.19e+00  1.23e+00    5.14e-03  4.39e-03    1.18e-01  1.23e-01    1.0e-04
  43400    1.27e+00  1.34e+00    1.81e-02  1.81e-02    1.27e-01  1.33e-01    1.0e-04
  43500    1.24e+00  1.27e+00    1.76e-03  1.77e-03    1.23e-01  1.26e-01    1.0e-04
  43600    1.28e+00  9.52e-01    1.57e-02  1.52e-02    1.27e-01  9.47e-02    1.0e-04
  43700    1.21e+00  9.60e-01    3.29e-03  3.81e-03    1.20e-01  9.56e-02    1.0e-04
  43800    1.25e+00  1.15e+00    3.68e-03  3.83e-03    1.24e-01  1.14e-01    1.0e-04
  43900    1.23e+00  9.87e-01    2.12e-03  2.19e-03    1.23e-01  9.82e-02    1.0e-04
  44000    1.23e+00  8.45e-01    4.70e-03  4.63e-03    1.22e-01  8.42e-02    1.0e-04
  44100    1.29e+00  1.19e+00    3.15e-02  3.14e-02    1.29e-01  1.18e-01    1.0e-04
  44200    1.22e+00  1.55e+00    1.87e-02  1.84e-02    1.21e-01  1.54e-01    1.0e-04
  44300    1.27e+00  1.06e+00    7.46e-03  7.30e-03    1.27e-01  1.06e-01    1.0e-04
  44400    1.24e+00  1.11e+00    3.49e-03  3.53e-03    1.23e-01  1.11e-01    1.0e-04
  44500    1.25e+00  1.36e+00    7.05e-03  6.75e-03    1.25e-01  1.35e-01    1.0e-04
  44600    1.24e+00  1.21e+00    5.62e-03  5.99e-03    1.23e-01  1.21e-01    1.0e-04
  44700    1.23e+00  1.34e+00    3.95e-02  3.92e-02    1.23e-01  1.33e-01    1.0e-04
  44800    1.25e+00  9.63e-01    1.04e-02  1.05e-02    1.24e-01  9.59e-02    1.0e-04
  44900    1.24e+00  1.42e+00    1.06e-02  1.07e-02    1.23e-01  1.41e-01    1.0e-04
  45000    1.10e+00  1.24e+00    1.20e-02  1.16e-02    1.27e-01  1.43e-01    7.5e-05
  45100    1.07e+00  1.38e+00    1.55e-03  1.25e-03    1.23e-01  1.58e-01    7.5e-05
  45200    1.09e+00  9.19e-01    1.43e-02  1.41e-02    1.25e-01  1.05e-01    7.5e-05
  45300    1.06e+00  7.99e-01    1.18e-02  1.17e-02    1.21e-01  9.16e-02    7.5e-05
  45400    1.08e+00  8.22e-01    4.44e-03  5.05e-03    1.24e-01  9.43e-02    7.5e-05
  45500    1.06e+00  9.68e-01    1.05e-02  1.02e-02    1.22e-01  1.11e-01    7.5e-05
  45600    1.10e+00  1.31e+00    6.61e-03  6.81e-03    1.26e-01  1.50e-01    7.5e-05
  45700    1.08e+00  8.60e-01    4.33e-03  4.09e-03    1.25e-01  9.86e-02    7.5e-05
  45800    1.08e+00  8.56e-01    1.08e-02  1.05e-02    1.24e-01  9.83e-02    7.5e-05
  45900    1.07e+00  7.79e-01    2.57e-03  2.12e-03    1.23e-01  8.94e-02    7.5e-05
  46000    1.07e+00  1.32e+00    1.55e-02  1.52e-02    1.23e-01  1.52e-01    7.5e-05
  46100    1.07e+00  1.04e+00    6.15e-03  6.29e-03    1.23e-01  1.20e-01    7.5e-05
  46200    1.07e+00  9.65e-01    1.29e-02  1.31e-02    1.23e-01  1.11e-01    7.5e-05
  46300    1.08e+00  1.16e+00    1.55e-02  1.52e-02    1.24e-01  1.33e-01    7.5e-05
  46400    1.08e+00  8.98e-01    3.83e-03  3.60e-03    1.24e-01  1.03e-01    7.5e-05
  46500    1.08e+00  1.31e+00    1.67e-02  1.63e-02    1.24e-01  1.50e-01    7.5e-05
  46600    1.08e+00  8.04e-01    1.55e-02  1.58e-02    1.24e-01  9.22e-02    7.5e-05
  46700    1.07e+00  1.14e+00    1.82e-02  1.88e-02    1.22e-01  1.31e-01    7.5e-05
  46800    1.11e+00  1.19e+00    2.17e-02  2.17e-02    1.27e-01  1.36e-01    7.5e-05
  46900    1.07e+00  8.45e-01    1.26e-02  1.18e-02    1.22e-01  9.69e-02    7.5e-05
  47000    1.10e+00  1.04e+00    5.88e-03  5.69e-03    1.26e-01  1.19e-01    7.5e-05
  47100    1.07e+00  1.05e+00    1.27e-02  1.26e-02    1.23e-01  1.21e-01    7.5e-05
  47200    1.09e+00  1.01e+00    3.50e-03  3.69e-03    1.25e-01  1.16e-01    7.5e-05
  47300    1.11e+00  1.06e+00    1.42e-02  1.42e-02    1.28e-01  1.21e-01    7.5e-05
  47400    1.09e+00  9.61e-01    7.13e-03  7.12e-03    1.25e-01  1.10e-01    7.5e-05
  47500    1.11e+00  6.42e-01    1.30e-02  1.28e-02    1.27e-01  7.36e-02    7.5e-05
  47600    1.08e+00  1.10e+00    4.67e-03  4.44e-03    1.24e-01  1.26e-01    7.5e-05
  47700    1.10e+00  9.63e-01    3.69e-03  3.48e-03    1.26e-01  1.10e-01    7.5e-05
  47800    1.04e+00  1.04e+00    1.37e-02  1.30e-02    1.19e-01  1.19e-01    7.5e-05
  47900    1.12e+00  1.16e+00    1.30e-02  1.27e-02    1.28e-01  1.33e-01    7.5e-05
  48000    1.07e+00  9.00e-01    1.97e-03  1.81e-03    1.23e-01  1.03e-01    7.5e-05
  48100    1.11e+00  9.11e-01    1.40e-02  1.45e-02    1.28e-01  1.05e-01    7.5e-05
  48200    1.07e+00  9.17e-01    1.11e-02  1.13e-02    1.23e-01  1.05e-01    7.5e-05
  48300    1.08e+00  1.05e+00    9.70e-03  9.32e-03    1.24e-01  1.21e-01    7.5e-05
  48400    1.09e+00  8.68e-01    7.38e-03  7.22e-03    1.25e-01  9.97e-02    7.5e-05
  48500    1.06e+00  8.01e-01    2.48e-03  2.48e-03    1.22e-01  9.20e-02    7.5e-05
  48600    1.10e+00  1.08e+00    6.00e-03  5.82e-03    1.26e-01  1.23e-01    7.5e-05
  48700    1.09e+00  1.42e+00    4.41e-03  4.32e-03    1.25e-01  1.63e-01    7.5e-05
  48800    1.06e+00  1.02e+00    2.86e-03  3.02e-03    1.22e-01  1.17e-01    7.5e-05
  48900    1.08e+00  1.26e+00    2.03e-02  2.03e-02    1.24e-01  1.45e-01    7.5e-05
  49000    1.09e+00  9.13e-01    6.23e-03  6.06e-03    1.25e-01  1.05e-01    7.5e-05
  49100    1.06e+00  1.03e+00    1.29e-02  1.30e-02    1.22e-01  1.18e-01    7.5e-05
  49200    1.07e+00  1.08e+00    1.02e-03  7.09e-04    1.23e-01  1.24e-01    7.5e-05
  49300    1.06e+00  9.43e-01    1.67e-02  1.68e-02    1.22e-01  1.08e-01    7.5e-05
  49400    1.09e+00  1.00e+00    8.38e-03  7.91e-03    1.25e-01  1.15e-01    7.5e-05
  49500    1.09e+00  1.09e+00    1.53e-02  1.53e-02    1.24e-01  1.25e-01    7.5e-05
  49600    1.06e+00  1.36e+00    1.77e-03  1.31e-03    1.21e-01  1.56e-01    7.5e-05
  49700    1.10e+00  1.03e+00    1.04e-02  1.04e-02    1.26e-01  1.18e-01    7.5e-05
  49800    1.05e+00  9.11e-01    5.16e-03  5.07e-03    1.20e-01  1.05e-01    7.5e-05
  49900    1.09e+00  1.11e+00    1.93e-02  1.95e-02    1.25e-01  1.27e-01    7.5e-05
  50000    9.57e-01  8.72e-01    3.38e-03  3.45e-03    1.27e-01  1.15e-01    5.6e-05
  50100    9.29e-01  8.97e-01    8.94e-04  4.20e-04    1.23e-01  1.19e-01    5.6e-05
  50200    9.45e-01  7.01e-01    1.36e-02  1.38e-02    1.25e-01  9.26e-02    5.6e-05
  50300    9.43e-01  7.30e-01    9.15e-03  9.64e-03    1.25e-01  9.65e-02    5.6e-05
  50400    9.43e-01  8.95e-01    1.37e-02  1.38e-02    1.25e-01  1.18e-01    5.6e-05
  50500    9.46e-01  1.17e+00    8.78e-03  9.03e-03    1.25e-01  1.55e-01    5.6e-05
  50600    9.50e-01  7.35e-01    3.07e-03  2.85e-03    1.26e-01  9.72e-02    5.6e-05
  50700    9.35e-01  7.71e-01    3.99e-03  3.96e-03    1.24e-01  1.02e-01    5.6e-05
  50800    9.26e-01  6.80e-01    1.16e-03  1.14e-03    1.22e-01  8.99e-02    5.6e-05
  50900    9.29e-01  1.04e+00    7.52e-03  7.26e-03    1.23e-01  1.37e-01    5.6e-05
  51000    9.29e-01  6.02e-01    8.64e-04  7.08e-04    1.23e-01  7.96e-02    5.6e-05
  51100    9.37e-01  8.57e-01    1.86e-03  1.95e-03    1.24e-01  1.13e-01    5.6e-05
  51200    9.28e-01  8.43e-01    3.05e-03  3.34e-03    1.23e-01  1.11e-01    5.6e-05
  51300    9.64e-01  8.76e-01    8.17e-03  8.19e-03    1.28e-01  1.16e-01    5.6e-05
  51400    9.28e-01  1.05e+00    1.33e-03  8.80e-04    1.23e-01  1.39e-01    5.6e-05
  51500    9.37e-01  1.00e+00    7.26e-03  7.21e-03    1.24e-01  1.32e-01    5.6e-05
  51600    9.17e-01  8.68e-01    3.35e-03  3.48e-03    1.21e-01  1.15e-01    5.6e-05
  51700    9.30e-01  6.89e-01    2.01e-02  2.08e-02    1.23e-01  9.10e-02    5.6e-05
  51800    9.14e-01  9.54e-01    2.22e-03  2.17e-03    1.21e-01  1.26e-01    5.6e-05
  51900    9.28e-01  1.18e+00    1.52e-03  1.51e-03    1.23e-01  1.56e-01    5.6e-05
  52000    9.37e-01  7.49e-01    1.38e-03  1.62e-03    1.24e-01  9.90e-02    5.6e-05
  52100    9.20e-01  9.30e-01    7.11e-03  6.43e-03    1.22e-01  1.23e-01    5.6e-05
  52200    9.64e-01  9.11e-01    5.49e-03  5.32e-03    1.27e-01  1.20e-01    5.6e-05
