# Time-averaged data for fix 1msd
# TimeStep c_amsd[3]
0 1.94072e-25
500 0.0436381
1000 0.0795521
1500 0.110844
2000 0.138257
2500 0.162879
3000 0.186583
3500 0.209458
4000 0.230392
4500 0.24909
5000 0.266507
5500 0.282864
6000 0.298158
6500 0.313073
7000 0.327437
7500 0.341272
8000 0.354619
8500 0.367362
9000 0.380158
9500 0.392616
10000 0.404865
